! elementShape quadrilateral 
! elementNumPoints 4 
147 120
0	0
0.25	0
0.5	0
0.75	0
1	0
1.25	0
1.5	0
1.75	0
2	0
2.25	0
2.5	0
2.75	0
3	0
3.25	0
3.5	0
3.75	0
4	0
4.25	0
4.5	0
4.75	0
5	0
0	0.25
0.25	0.25
0.5	0.25
0.75	0.25
1	0.25
1.25	0.25
1.5	0.25
1.75	0.25
2	0.25
2.25	0.25
2.5	0.25
2.75	0.25
3	0.25
3.25	0.25
3.5	0.25
3.75	0.25
4	0.25
4.25	0.25
4.5	0.25
4.75	0.25
5	0.25
0	0.5
0.25	0.5
0.5	0.5
0.75	0.5
1	0.5
1.25	0.5
1.5	0.5
1.75	0.5
2	0.5
2.25	0.5
2.5	0.5
2.75	0.5
3	0.5
3.25	0.5
3.5	0.5
3.75	0.5
4	0.5
4.25	0.5
4.5	0.5
4.75	0.5
5	0.5
0	0.75
0.25	0.75
0.5	0.75
0.75	0.75
1	0.75
1.25	0.75
1.5	0.75
1.75	0.75
2	0.75
2.25	0.75
2.5	0.75
2.75	0.75
3	0.75
3.25	0.75
3.5	0.75
3.75	0.75
4	0.75
4.25	0.75
4.5	0.75
4.75	0.75
5	0.75
0	1
0.25	1
0.5	1
0.75	1
1	1
1.25	1
1.5	1
1.75	1
2	1
2.25	1
2.5	1
2.75	1
3	1
3.25	1
3.5	1
3.75	1
4	1
4.25	1
4.5	1
4.75	1
5	1
0	1.25
0.25	1.25
0.5	1.25
0.75	1.25
1	1.25
1.25	1.25
1.5	1.25
1.75	1.25
2	1.25
2.25	1.25
2.5	1.25
2.75	1.25
3	1.25
3.25	1.25
3.5	1.25
3.75	1.25
4	1.25
4.25	1.25
4.5	1.25
4.75	1.25
5	1.25
0	1.5
0.25	1.5
0.5	1.5
0.75	1.5
1	1.5
1.25	1.5
1.5	1.5
1.75	1.5
2	1.5
2.25	1.5
2.5	1.5
2.75	1.5
3	1.5
3.25	1.5
3.5	1.5
3.75	1.5
4	1.5
4.25	1.5
4.5	1.5
4.75	1.5
5	1.5
0 1 22 21
1 2 23 22
2 3 24 23
3 4 25 24
4 5 26 25
5 6 27 26
6 7 28 27
7 8 29 28
8 9 30 29
9 10 31 30
10 11 32 31
11 12 33 32
12 13 34 33
13 14 35 34
14 15 36 35
15 16 37 36
16 17 38 37
17 18 39 38
18 19 40 39
19 20 41 40
21 22 43 42
22 23 44 43
23 24 45 44
24 25 46 45
25 26 47 46
26 27 48 47
27 28 49 48
28 29 50 49
29 30 51 50
30 31 52 51
31 32 53 52
32 33 54 53
33 34 55 54
34 35 56 55
35 36 57 56
36 37 58 57
37 38 59 58
38 39 60 59
39 40 61 60
40 41 62 61
42 43 64 63
43 44 65 64
44 45 66 65
45 46 67 66
46 47 68 67
47 48 69 68
48 49 70 69
49 50 71 70
50 51 72 71
51 52 73 72
52 53 74 73
53 54 75 74
54 55 76 75
55 56 77 76
56 57 78 77
57 58 79 78
58 59 80 79
59 60 81 80
60 61 82 81
61 62 83 82
63 64 85 84
64 65 86 85
65 66 87 86
66 67 88 87
67 68 89 88
68 69 90 89
69 70 91 90
70 71 92 91
71 72 93 92
72 73 94 93
73 74 95 94
74 75 96 95
75 76 97 96
76 77 98 97
77 78 99 98
78 79 100 99
79 80 101 100
80 81 102 101
81 82 103 102
82 83 104 103
84 85 106 105
85 86 107 106
86 87 108 107
87 88 109 108
88 89 110 109
89 90 111 110
90 91 112 111
91 92 113 112
92 93 114 113
93 94 115 114
94 95 116 115
95 96 117 116
96 97 118 117
97 98 119 118
98 99 120 119
99 100 121 120
100 101 122 121
101 102 123 122
102 103 124 123
103 104 125 124
105 106 127 126
106 107 128 127
107 108 129 128
108 109 130 129
109 110 131 130
110 111 132 131
111 112 133 132
112 113 134 133
113 114 135 134
114 115 136 135
115 116 137 136
116 117 138 137
117 118 139 138
118 119 140 139
119 120 141 140
120 121 142 141
121 122 143 142
122 123 144 143
123 124 145 144
124 125 146 145
